model,genre,prompt_id,ttr,mtld,hapax_ratio,avg_word_length,word_length_std,long_word_ratio,yule_k,pos_noun_ratio,pos_verb_ratio,pos_adj_ratio,pos_adv_ratio,pos_pron_ratio,pos_det_ratio,pos_adp_ratio,pos_cconj_ratio,pos_sconj_ratio,pos_aux_ratio,pos_part_ratio,pos_intj_ratio,pos_num_ratio,pos_propn_ratio,avg_sent_length,std_sent_length,num_sentences,num_words,max_dep_depth,mean_dep_depth,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,dale_chall,discourse_marker_count,discourse_marker_rate,punct_comma,punct_period,punct_semicolon,punct_colon,punct_question,punct_exclamation,punct_dash,punct_hyphen,punct_quote,punct_single_quote,punct_ellipsis,punct_total,fw_a,fw_about,fw_above,fw_after,fw_again,fw_all,fw_am,fw_an,fw_and,fw_any,fw_are,fw_as,fw_at,fw_be,fw_because,fw_been,fw_before,fw_being,fw_below,fw_between,fw_both,fw_but,fw_by,fw_could,fw_did,fw_do,fw_does,fw_doing,fw_down,fw_during,fw_each,fw_few,fw_for,fw_from,fw_further,fw_had,fw_has,fw_have,fw_having,fw_he,fw_her,fw_here,fw_hers,fw_herself,fw_him,fw_himself,fw_his,fw_how,fw_i,fw_if,fw_in,fw_into,fw_is,fw_it,fw_its,fw_itself,fw_just,fw_me,fw_more,fw_most,fw_my,fw_myself,fw_no,fw_nor,fw_not,fw_now,fw_of,fw_off,fw_on,fw_once,fw_only,fw_or,fw_other,fw_our,fw_ours,fw_ourselves,fw_out,fw_over,fw_own,fw_same,fw_she,fw_should,fw_so,fw_some,fw_such,fw_than,fw_that,fw_the,fw_their,fw_theirs,fw_them,fw_themselves,fw_then,fw_there,fw_these,fw_they,fw_this,fw_those,fw_through,fw_to,fw_too,fw_under,fw_until,fw_up,fw_very,fw_was,fw_we,fw_were,fw_what,fw_when,fw_where,fw_which,fw_while,fw_who,fw_whom,fw_why,fw_will,fw_with,fw_would,fw_you,fw_your,fw_yours,fw_yourself,fw_yourselves
chatgpt,narrative,narrative_1,0.764,296.61,0.668,5.224,2.255,0.304,66.88,0.252,0.188,0.024,0.1,0.096,0.104,0.1,0.016,0.024,0.024,0.004,0.0,0.012,0.056,11.364,6.124,22,250,101,101.0,58.249,7.958,7.745,9.91,8.558,4,1.6,1.1823,1.369,0.0,0.0622,0.0,0.0,0.0,0.0,0.4978,0.0622,0.0,3.1736,0.032,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.008,0.004,0.0,0.016,0.0,0.0,0.0,0.008,0.016,0.0,0.0,0.0,0.004,0.0,0.004,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.004,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.004,0.0,0.004,0.0,0.0,0.0,0.004,0.0,0.004,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.004,0.0,0.0,0.0,0.008,0.0,0.012,0.004,0.0,0.0,0.0
chatgpt,argumentative,argumentative_1,0.73413,265.39,0.5873,6.476,2.928,0.5119,45.981,0.32143,0.15079,0.1627,0.05952,0.03571,0.02381,0.09127,0.06349,0.02381,0.03175,0.02381,0.0,0.00794,0.00397,16.8,5.718,15,252,101,101.0,2.113,17.122,20.239,17.122,13.651,4,1.5873,1.1464,0.7817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9281,0.00397,0.0,0.0,0.0,0.0,0.00397,0.0,0.0,0.04365,0.0,0.00794,0.0119,0.0,0.0,0.00397,0.0,0.0,0.0,0.0,0.0,0.0,0.00397,0.00794,0.0,0.0,0.0,0.0,0.0,0.0,0.00397,0.0,0.0,0.00794,0.00397,0.0,0.0,0.00397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00794,0.0,0.00794,0.00794,0.0119,0.00397,0.0,0.0,0.00397,0.00397,0.0,0.0,0.0,0.0,0.00794,0.0,0.01587,0.0,0.00397,0.0,0.0,0.0119,0.0,0.0,0.0,0.0,0.0,0.00397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00794,0.00397,0.00794,0.00397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00397,0.0,0.00397,0.02381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00397,0.00397,0.00397,0.0,0.0,0.0,0.0,0.0,0.00794,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,descriptive,descriptive_1,0.744,273.438,0.652,5.896,2.526,0.432,94.72,0.332,0.172,0.096,0.032,0.028,0.124,0.16,0.016,0.032,0.0,0.0,0.0,0.004,0.004,20.833,6.08,12,250,101,101.0,41.869,12.595,12.973,13.16,11.428,0,0.0,1.139,0.6834,0.0,0.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8793,0.024,0.0,0.012,0.0,0.0,0.0,0.0,0.004,0.016,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.008,0.012,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.084,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.004,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,dialogue,dialogue_1,0.732,255.597,0.616,4.816,2.135,0.224,76.16,0.136,0.208,0.076,0.132,0.192,0.052,0.052,0.012,0.024,0.032,0.012,0.012,0.008,0.052,4.902,3.164,51,250,101,101.0,72.413,4.752,5.604,7.611,9.386,1,0.4,0.8115,2.6841,0.0,0.0,0.4994,0.0,0.0,0.0,3.7453,0.6242,0.0,8.3645,0.012,0.012,0.0,0.004,0.004,0.0,0.0,0.0,0.008,0.0,0.004,0.0,0.008,0.0,0.004,0.0,0.004,0.0,0.0,0.0,0.004,0.004,0.0,0.004,0.008,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.008,0.0,0.0,0.0,0.004,0.0,0.004,0.0,0.052,0.0,0.0,0.0,0.004,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.004,0.012,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.008,0.0,0.004,0.004,0.0,0.004,0.012,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.004,0.008,0.004,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.004,0.004,0.0,0.0,0.008,0.004,0.0,0.004,0.0,0.0,0.004,0.056,0.012,0.0,0.0,0.0
chatgpt,creative,creative_1,0.8,350.0,0.708,5.552,2.285,0.388,43.2,0.3,0.176,0.096,0.076,0.072,0.088,0.128,0.032,0.016,0.004,0.0,0.0,0.004,0.008,14.706,7.25,17,250,101,101.0,47.412,10.3,9.242,10.967,9.735,0,0.0,1.5458,1.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595,0.0,2.6159,0.02,0.0,0.008,0.004,0.0,0.0,0.0,0.004,0.02,0.0,0.0,0.0,0.008,0.0,0.008,0.0,0.004,0.0,0.004,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.004,0.0,0.004,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
gemini,narrative,narrative_1,0.66946,138.452,0.56067,4.644,2.308,0.21757,109.592,0.25105,0.14644,0.11297,0.05021,0.10042,0.13389,0.11715,0.02092,0.00837,0.02092,0.01255,0.0,0.00837,0.01674,13.278,6.163,18,239,101,101.0,69.853,6.773,8.126,9.151,9.037,0,0.0,1.3523,1.2811,0.0712,0.0712,0.0,0.0,0.1423,0.2135,0.1423,0.1423,0.0,3.4164,0.04184,0.00418,0.0,0.0,0.0,0.0,0.00418,0.00837,0.01674,0.0,0.0,0.00837,0.01255,0.0,0.0,0.0,0.0,0.0,0.00418,0.0,0.0,0.00418,0.00418,0.0,0.00418,0.0,0.0,0.0,0.00418,0.0,0.0,0.0,0.00418,0.00418,0.0,0.0,0.0,0.00418,0.0,0.02092,0.0,0.0,0.0,0.0,0.0,0.0,0.04184,0.0,0.0,0.0,0.01255,0.0,0.0,0.01674,0.00418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00837,0.0,0.0,0.0,0.02929,0.0,0.00418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00418,0.0,0.00418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00837,0.07113,0.0,0.0,0.0,0.0,0.0,0.00418,0.0,0.0,0.00418,0.0,0.0,0.01674,0.0,0.0,0.0,0.0,0.00418,0.02092,0.0,0.0,0.0,0.00418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01255,0.0,0.00418,0.0,0.0,0.0,0.0
gemini,argumentative,argumentative_1,0.74502,275.629,0.65339,6.351,3.28,0.4741,82.856,0.33466,0.13944,0.13944,0.04382,0.01992,0.10757,0.11952,0.02789,0.01594,0.0239,0.01992,0.0,0.0,0.00797,17.929,7.851,14,251,101,101.0,-1.154,17.821,20.957,17.452,13.684,3,1.1952,0.6403,0.7471,0.0,0.0,0.0,0.0,0.0534,0.1067,0.2134,0.0,0.0,1.7609,0.01594,0.0,0.0,0.0,0.0,0.0,0.0,0.00797,0.02789,0.00398,0.00797,0.00797,0.00398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01992,0.00398,0.0,0.0,0.00797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00398,0.0,0.00797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00398,0.0,0.0,0.0,0.04781,0.0,0.00797,0.00398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00398,0.00398,0.06375,0.0,0.0,0.00398,0.0,0.0,0.0,0.00797,0.0,0.00797,0.0,0.0,0.0239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00398,0.00398,0.0,0.00398,0.0,0.0,0.0,0.00398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini,descriptive,descriptive_1,0.69231,131.236,0.61538,4.887,2.568,0.25911,180.301,0.33198,0.10931,0.1336,0.00405,0.02834,0.18219,0.17409,0.02024,0.0,0.01215,0.00405,0.0,0.0,0.0,17.643,6.64,14,247,101,101.0,56.797,9.632,12.038,11.9,10.627,0,0.0,1.3405,0.9383,0.067,0.0,0.0,0.0,0.067,0.2681,0.0,0.134,0.0,2.815,0.06478,0.0,0.00405,0.0,0.0,0.00405,0.0,0.00405,0.02024,0.0,0.00405,0.0,0.0,0.0,0.0,0.0,0.00405,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00405,0.0,0.0,0.00405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.01619,0.01215,0.00405,0.00405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,0.06478,0.0,0.00405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09717,0.00405,0.0,0.00405,0.0,0.0,0.00405,0.0,0.0,0.00405,0.00405,0.0081,0.0081,0.0,0.00405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01215,0.0,0.0,0.0,0.0,0.0,0.0
gemini,dialogue,dialogue_1,0.63983,102.263,0.48729,3.953,2.069,0.13559,79.0,0.17373,0.14831,0.05508,0.08051,0.19068,0.05932,0.07627,0.03814,0.01271,0.02966,0.01695,0.0339,0.03814,0.04661,5.244,3.979,45,236,101,101.0,84.88,3.13,5.488,7.169,7.487,0,0.0,1.0786,3.0046,0.0,0.0,0.6934,0.1541,0.0,0.1541,2.3112,1.0786,0.0,8.4746,0.0339,0.00847,0.0,0.0,0.0,0.0,0.0,0.0,0.01271,0.0,0.0,0.0,0.00847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02119,0.0,0.0,0.01271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01271,0.00424,0.0,0.0,0.0,0.00847,0.0,0.01271,0.0,0.00847,0.0,0.0,0.0,0.0,0.0,0.00424,0.0339,0.00424,0.02119,0.0,0.01695,0.02542,0.0,0.0,0.00424,0.00424,0.00424,0.0,0.01271,0.0,0.00847,0.0,0.00424,0.00424,0.00424,0.0,0.01271,0.0,0.0,0.00424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847,0.0,0.0,0.0,0.00847,0.02542,0.0,0.0,0.00424,0.0,0.0,0.0,0.0,0.00847,0.0,0.0,0.0,0.01271,0.00424,0.0,0.0,0.00424,0.0,0.0,0.00847,0.0,0.00424,0.0,0.0,0.0,0.0,0.00424,0.0,0.0,0.0,0.0,0.0,0.04661,0.01695,0.0,0.0,0.0
gemini,creative,creative_1,0.68511,135.729,0.59149,4.447,2.189,0.2,166.591,0.25957,0.13617,0.13617,0.03404,0.05957,0.17872,0.08511,0.03404,0.00851,0.03404,0.01702,0.0,0.00851,0.00851,14.688,1.31,16,235,101,101.0,75.937,6.301,7.218,7.169,8.748,0,0.0,1.8954,1.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1084,0.05957,0.0,0.0,0.0,0.0,0.00426,0.00426,0.00426,0.02553,0.0,0.0,0.0,0.0,0.00426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00426,0.0,0.0,0.0,0.0,0.00426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02128,0.0,0.02128,0.0,0.01277,0.00851,0.0,0.0,0.0,0.0,0.0,0.0,0.00851,0.0,0.00426,0.0,0.00426,0.0,0.01702,0.0,0.00851,0.0,0.00426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00426,0.0,0.0,0.0,0.00426,0.10638,0.01702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00426,0.0,0.00851,0.01702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude,narrative,narrative_1,0.62,110.918,0.48,4.496,2.109,0.172,141.44,0.244,0.152,0.052,0.056,0.152,0.128,0.084,0.008,0.032,0.06,0.012,0.0,0.004,0.016,12.5,6.407,20,250,101,101.0,75.536,5.804,7.057,8.842,7.117,0,0.0,1.1204,1.4006,0.0,0.2101,0.0,0.0,0.1401,0.1401,0.0,0.3501,0.0,3.3613,0.024,0.0,0.0,0.0,0.0,0.004,0.0,0.004,0.004,0.0,0.0,0.004,0.016,0.0,0.0,0.012,0.004,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.012,0.0,0.0,0.032,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.012,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.016,0.0,0.008,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.004,0.056,0.004,0.0,0.0,0.0,0.008,0.004,0.088,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.008,0.0,0.004,0.016,0.0,0.0,0.004,0.0,0.0,0.012,0.004,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.012,0.0,0.0,0.0,0.0
claude,argumentative,argumentative_1,0.71542,222.127,0.58893,5.949,3.065,0.41107,57.492,0.29249,0.13834,0.13834,0.04743,0.03953,0.0751,0.083,0.03953,0.02372,0.07115,0.03953,0.0,0.0,0.01186,14.056,5.661,18,253,101,101.0,19.477,13.993,17.556,15.248,11.968,0,0.0,0.9476,1.0033,0.0,0.0,0.0,0.0,0.0557,0.0557,0.0,0.0557,0.0,2.1182,0.01581,0.00395,0.0,0.0,0.0,0.0,0.0,0.00395,0.03557,0.0,0.01186,0.00395,0.00395,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00395,0.00791,0.0,0.0,0.00395,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00791,0.0,0.02767,0.00791,0.0,0.0,0.0,0.0,0.00395,0.01186,0.0,0.0,0.0,0.0,0.01976,0.00395,0.02372,0.0,0.00791,0.0,0.0,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.00395,0.01186,0.03953,0.00791,0.0,0.0,0.0,0.0,0.00395,0.00395,0.00395,0.00791,0.0,0.0,0.01976,0.0,0.0,0.00395,0.0,0.0,0.0,0.00395,0.00395,0.0,0.00791,0.0,0.0,0.00395,0.0,0.0,0.0,0.00395,0.00791,0.0,0.0,0.0,0.0,0.0,0.0
claude,descriptive,descriptive_1,0.71429,173.289,0.60816,4.886,2.621,0.24082,106.622,0.25306,0.15918,0.10612,0.06122,0.05714,0.13878,0.13061,0.02041,0.00816,0.03673,0.01633,0.0,0.00816,0.00408,12.895,7.684,19,245,101,101.0,61.979,7.831,9.407,10.308,8.836,0,0.0,1.1364,1.2701,0.0,0.0668,0.0,0.0,0.2005,0.0668,0.0,0.0668,0.0,2.8075,0.0449,0.0,0.00408,0.0,0.00408,0.00408,0.0,0.0,0.02041,0.0,0.0,0.00408,0.00816,0.00816,0.0,0.0,0.0,0.0,0.00408,0.0,0.0,0.0,0.01224,0.0,0.0,0.00408,0.00816,0.0,0.0,0.0,0.0,0.0,0.00408,0.00408,0.0,0.0,0.0,0.0,0.0,0.00408,0.01224,0.0,0.0,0.0,0.00408,0.0,0.0,0.0,0.0,0.0,0.02449,0.00816,0.01633,0.00816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00408,0.0,0.02449,0.0,0.00816,0.0,0.00816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00408,0.0,0.0,0.0,0.0,0.0,0.00408,0.08163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00408,0.00408,0.00816,0.01633,0.00408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00408,0.0,0.0,0.0,0.00408,0.0,0.0,0.00408,0.00816,0.0,0.0,0.0,0.0,0.0,0.0
claude,dialogue,dialogue_1,0.56962,40.629,0.40084,4.063,2.164,0.1308,151.329,0.09283,0.18143,0.05907,0.1097,0.28692,0.03797,0.03797,0.02532,0.0211,0.08861,0.01688,0.01266,0.0211,0.00844,3.95,1.802,60,237,101,101.0,87.489,2.309,4.38,6.948,6.285,0,0.0,0.5102,3.7901,0.0,0.0,0.5102,0.0,0.0729,0.0,4.2274,1.312,0.0,10.4227,0.01266,0.00422,0.0,0.0,0.0,0.0,0.00422,0.00422,0.00844,0.0,0.01688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00422,0.00844,0.00422,0.00422,0.01688,0.0,0.01266,0.0,0.00422,0.0,0.0,0.0,0.00422,0.0,0.0,0.0,0.0,0.00422,0.0,0.00422,0.0,0.01266,0.0,0.0,0.00844,0.0,0.0,0.00422,0.08017,0.00422,0.0,0.00422,0.00844,0.03797,0.0,0.0,0.00422,0.00422,0.0,0.0,0.00422,0.0,0.00422,0.0,0.00844,0.0,0.0,0.0,0.0,0.0,0.0,0.00422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00422,0.0,0.0,0.00422,0.00844,0.0,0.0,0.0211,0.00844,0.0,0.0,0.0,0.0,0.00844,0.0,0.0,0.00422,0.0,0.0,0.0,0.00844,0.0,0.0,0.00422,0.0,0.00422,0.01266,0.0211,0.00844,0.00844,0.0,0.00422,0.0,0.00422,0.0,0.0,0.0,0.0,0.0,0.00422,0.06751,0.01266,0.0,0.0,0.0
claude,creative,creative_1,0.65145,138.439,0.49793,4.527,2.222,0.19917,101.582,0.21577,0.16183,0.03734,0.08714,0.14108,0.12033,0.14938,0.02075,0.00415,0.03734,0.01245,0.0,0.0083,0.00415,17.214,11.851,14,241,101,101.0,69.308,7.869,8.877,9.042,7.766,0,0.0,1.5919,1.013,0.0,0.0724,0.0,0.0,0.2171,0.0,0.0,0.2171,0.0,3.1114,0.0332,0.0,0.00415,0.0,0.0,0.0,0.0,0.00415,0.02075,0.0,0.0083,0.0083,0.00415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.00415,0.0,0.0083,0.00415,0.0,0.0,0.0,0.0,0.0,0.0083,0.00415,0.0,0.0,0.00415,0.0,0.0,0.0,0.0,0.00415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166,0.0,0.0083,0.0083,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0,0.01245,0.0083,0.0166,0.00415,0.00415,0.0,0.00415,0.0,0.0,0.0,0.0,0.0,0.00415,0.00415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01245,0.07054,0.0166,0.0,0.0083,0.0,0.0083,0.0,0.0,0.00415,0.0083,0.0,0.0166,0.01245,0.0,0.0,0.0,0.00415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.00415,0.0,0.0,0.00415,0.0,0.04564,0.00415,0.0,0.0,0.0
chatgpt,narrative,narrative_2,0.75309,275.562,0.65021,4.918,2.295,0.25514,58.934,0.25514,0.16872,0.0535,0.09053,0.09053,0.09465,0.12346,0.02469,0.01646,0.02058,0.00412,0.0,0.01646,0.04115,7.839,5.144,31,243,101,101.0,69.764,5.676,5.606,8.076,9.22,1,0.4115,0.9973,1.9947,0.0665,0.0,0.0665,0.0,0.0665,0.0,0.0,0.0,0.0,3.1915,0.02469,0.0,0.0,0.00412,0.0,0.0,0.00412,0.0,0.02058,0.0,0.0,0.00412,0.00412,0.0,0.0,0.00412,0.00412,0.0,0.00412,0.0,0.0,0.0,0.00412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00412,0.0,0.00412,0.01235,0.0,0.00412,0.0,0.0,0.0,0.01646,0.01646,0.0,0.0,0.0,0.00412,0.0,0.00823,0.0,0.01235,0.0,0.01646,0.00412,0.0,0.01235,0.0,0.0,0.00412,0.0,0.00412,0.0,0.0,0.0,0.00412,0.0,0.0,0.00412,0.00412,0.0,0.00823,0.0,0.0,0.00412,0.00412,0.0,0.0,0.0,0.00412,0.0,0.0,0.0,0.00412,0.0,0.0,0.0,0.0,0.00823,0.00412,0.05761,0.0,0.0,0.00412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01235,0.0,0.0,0.0,0.0,0.0,0.00823,0.0,0.0,0.0,0.00823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01235,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,narrative,narrative_3,0.68571,154.442,0.56735,5.224,2.47,0.33061,135.943,0.24082,0.17143,0.0898,0.08571,0.06122,0.13061,0.08571,0.02857,0.01633,0.02857,0.02449,0.0,0.00816,0.02857,8.167,5.646,30,245,101,101.0,53.386,8.238,10.461,10.708,10.721,0,0.0,0.8186,2.0151,0.0,0.1259,0.063,0.0,0.1889,0.1259,0.0,0.0,0.0,3.3375,0.00816,0.0,0.0,0.00408,0.00816,0.0,0.0,0.0,0.02041,0.0,0.00408,0.00816,0.01224,0.0,0.0,0.0,0.00408,0.0,0.0,0.00408,0.0,0.00408,0.00408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00408,0.0,0.00408,0.0,0.0,0.00408,0.0,0.0,0.0,0.0,0.01224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02449,0.0,0.0,0.00408,0.0,0.00408,0.0,0.0,0.00816,0.0,0.0,0.0,0.00408,0.0,0.01224,0.0,0.00816,0.0,0.00816,0.00408,0.0,0.00408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857,0.00408,0.0,0.0,0.0,0.0,0.0,0.10204,0.0,0.0,0.0,0.0,0.00816,0.0,0.0,0.00408,0.00816,0.0,0.0,0.02857,0.0,0.0,0.0,0.0,0.0,0.00816,0.0,0.00816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00408,0.0,0.0,0.0,0.0
